iter	Logloss
0	0.6180018683
1	0.5604735014
2	0.5167785331
3	0.4489889527
4	0.4269830706
5	0.3500116398
6	0.2994480522
7	0.2672037584
8	0.2472745712
9	0.240251652
10	0.2348736471
11	0.2307206591
12	0.2221375437
13	0.2200373635
14	0.2134671256
15	0.2079102064
16	0.2071578682
17	0.205312524
18	0.2035160323
19	0.2025742327
20	0.2015032232
21	0.2012454727
22	0.2002144743
23	0.1992485279
24	0.1991620749
25	0.198692495
26	0.1986208163
27	0.1985085844
28	0.1983403392
29	0.1980459927
30	0.19764307
31	0.1974321119
32	0.197163284
33	0.1970202565
34	0.1967287556
35	0.1966570739
36	0.1965567495
37	0.1964724725
38	0.1964006822
39	0.1963684816
40	0.196326411
41	0.19614628
42	0.1960742319
43	0.1960104469
44	0.1959727304
45	0.1959187733
46	0.1958515652
47	0.1958011336
48	0.1956598195
49	0.1955655411
50	0.1954597978
51	0.1954450063
52	0.1953846407
53	0.1953376937
54	0.1953289386
55	0.1953199522
56	0.1952661819
57	0.1952120671
58	0.1951638295
59	0.1951502762
60	0.1950942549
61	0.1950247489
62	0.1950043912
63	0.194967709
64	0.1949471016
65	0.1949212339
66	0.194884784
67	0.194875271
68	0.1948625084
69	0.1948549476
70	0.1948249754
71	0.1947744847
72	0.1947545794
73	0.1947257856
74	0.1946903633
75	0.1946732581
76	0.1946656972
77	0.1946419516
78	0.1946149549
79	0.1945762149
80	0.1945592473
81	0.1945483145
82	0.194540207
83	0.1944952858
84	0.1944897795
85	0.1944813944
86	0.1944541361
87	0.1944379037
88	0.1944137248
89	0.1943960974
90	0.194383257
91	0.1943793851
92	0.1943421792
93	0.1943039593
94	0.1942831767
95	0.1942623328
96	0.1942523211
97	0.1942407046
98	0.1942226455
99	0.1942093377
100	0.1942039403
101	0.1942039403
102	0.1941878597
103	0.1941805781
104	0.1941521922
105	0.1941404329
106	0.1941187039
107	0.1941135925
108	0.1940997536
109	0.1940692633
110	0.1940692632
111	0.1940545472
112	0.1940467629
113	0.1940405898
114	0.1940145198
115	0.1940049253
116	0.1939891314
117	0.1939607278
118	0.1939366753
119	0.1939246438
120	0.1938888788
121	0.1938793954
122	0.1938492838
123	0.1938275328
124	0.1938215168
125	0.1938053108
126	0.1937810401
127	0.193750028
128	0.193744859
129	0.1937308057
130	0.1937032409
131	0.1936793551
132	0.1936740793
133	0.1936575521
134	0.193653301
135	0.1936452971
136	0.1936277808
137	0.1936240488
138	0.1936021005
139	0.1935921494
140	0.1935687581
141	0.1935226131
142	0.1935178391
143	0.1935083891
144	0.1934955768
145	0.1934785983
146	0.1934498557
147	0.1934310476
148	0.1934156227
149	0.1933780086
150	0.193367654
151	0.1933382994
152	0.1933284563
153	0.1932999034
154	0.1932899447
155	0.1932847121
156	0.1932658571
157	0.1932567102
158	0.1932360456
159	0.193227512
160	0.1932224347
161	0.1932094523
162	0.1932066099
163	0.1931930627
164	0.1931800805
165	0.1931524868
166	0.1931369908
167	0.193122701
168	0.1931155846
169	0.1931141992
170	0.1931056285
171	0.1930907786
172	0.1930614494
173	0.1930520056
174	0.19304592
175	0.1930220463
176	0.1930081053
177	0.192989075
178	0.1929646897
179	0.1929574577
180	0.1929290784
181	0.1929223149
182	0.1929000352
183	0.1928789718
184	0.1928639597
185	0.1928506161
186	0.1928354747
187	0.1928217761
188	0.1928083099
189	0.1928011864
190	0.192774725
191	0.1927694653
192	0.1927638094
193	0.1927627784
194	0.1927532079
195	0.1927498506
196	0.1927398592
197	0.1927232923
198	0.1927080975
199	0.1926978003
200	0.1926771453
201	0.192674987
202	0.192663559
203	0.192655567
204	0.192641478
205	0.1926363489
206	0.1926272356
207	0.1926204778
208	0.1926001488
209	0.1925706758
210	0.1925645048
211	0.1925553003
212	0.1925477946
213	0.1925108944
214	0.1924992141
215	0.1924896436
216	0.192473773
217	0.1924620374
218	0.1924446863
219	0.1924336846
220	0.1924154025
221	0.1923890129
222	0.1923619757
223	0.1923586578
224	0.1923398574
225	0.1923243957
226	0.1923185961
227	0.1923034213
228	0.1922863011
229	0.1922756416
230	0.1922722936
231	0.1922569783
232	0.192241847
233	0.1922189221
234	0.1922019412
235	0.1921939851
236	0.1921725347
237	0.1921682248
238	0.1921599659
239	0.1921433041
240	0.1921326581
241	0.1921286063
242	0.1920923312
243	0.1920700343
244	0.1920465773
245	0.1920345927
246	0.1920218903
247	0.192004349
248	0.1919891421
249	0.1919741391
250	0.1919589671
251	0.1919412594
252	0.1919265012
253	0.1919227347
254	0.191905496
255	0.1918913615
256	0.1918888006
257	0.1918747236
258	0.1918588654
259	0.1918577911
260	0.1918483655
261	0.1918380469
262	0.1918280188
263	0.1918127117
264	0.1917871
265	0.1917759508
266	0.1917650531
267	0.1917414649
268	0.1917403699
269	0.1917270971
270	0.1917089365
271	0.1916983571
272	0.1916832278
273	0.1916755064
274	0.1916645455
275	0.1916575355
276	0.1916384998
277	0.1916212318
278	0.1916134475
279	0.191609778
280	0.191599078
281	0.1915762157
282	0.191558178
283	0.1915290796
284	0.1915253352
285	0.1915216804
286	0.1915098508
287	0.191497929
288	0.1914871893
289	0.1914705233
290	0.1914677184
291	0.1914629391
292	0.1914623846
293	0.1913881831
294	0.1913703482
295	0.1913629183
296	0.1913458579
297	0.1913247063
298	0.1913236559
299	0.191313887
300	0.1912853617
301	0.1912668313
302	0.1912530585
303	0.191243386
304	0.1912311618
305	0.1912226838
306	0.191208658
307	0.191183837
308	0.1911703669
309	0.1911497822
310	0.1911357786
311	0.1911160743
312	0.1911000934
313	0.191086785
314	0.1910746454
315	0.1910692921
316	0.1910532777
317	0.1910466481
318	0.1910356574
319	0.1910327835
320	0.1910135044
321	0.1910122366
322	0.1910005103
323	0.190980585
324	0.1909669455
325	0.1909498019
326	0.1909474816
327	0.1909244242
328	0.1909145992
329	0.1909056688
330	0.1908933804
331	0.1908827923
332	0.1908625339
333	0.1908565926
334	0.1908557348
335	0.1908408345
336	0.1908247917
337	0.1908110795
338	0.1907991348
339	0.1907830731
340	0.1907779359
341	0.1907706393
342	0.1907625773
343	0.1907468705
344	0.1907362301
345	0.1907302124
346	0.1907226817
347	0.190714299
348	0.1907115565
349	0.1906982165
350	0.1906866785
351	0.1906806725
352	0.1906680648
353	0.1906521536
354	0.1906360753
355	0.1906327015
356	0.1906218684
357	0.1906156937
358	0.1905970055
359	0.1905932935
360	0.1905764637
361	0.190570411
362	0.1905658528
363	0.1905515576
364	0.1905387299
365	0.19052882
366	0.1905144173
367	0.1905015982
368	0.1905011547
369	0.1904998918
370	0.1904960918
371	0.1904801548
372	0.1904691557
373	0.1904482139
374	0.1904370577
375	0.1904284866
376	0.1904123039
377	0.1903902376
378	0.1903732871
379	0.1903635929
380	0.1903612304
381	0.1903457357
382	0.1903448409
383	0.1903380297
384	0.1903153126
385	0.1902937109
386	0.1902797917
387	0.1902732246
388	0.1902515962
389	0.1902364642
390	0.1902268773
391	0.1902178369
392	0.1902043395
393	0.1902004896
394	0.1901911935
395	0.1901869379
396	0.1901753045
397	0.190165655
398	0.1901596947
399	0.1901466885
400	0.1901419829
401	0.1901301948
402	0.1901245518
403	0.1901212279
404	0.1900611283
405	0.190038939
406	0.1900175665
407	0.1900117799
408	0.1899961008
409	0.1899954496
410	0.1899872713
411	0.1899773811
412	0.1899644043
413	0.1899397702
414	0.1899220632
415	0.1899081353
416	0.1898922932
417	0.1898701034
418	0.1898475866
419	0.1898391399
420	0.1898203853
421	0.1897943544
422	0.1897767373
423	0.1897674547
424	0.1897493724
425	0.189734871
426	0.1897225962
427	0.1897180061
428	0.1896976661
429	0.189672746
430	0.1896641975
431	0.1896599432
432	0.1896425962
433	0.1896284315
434	0.1896210749
435	0.1895988845
436	0.1895837775
437	0.1895723613
438	0.1895593261
439	0.1895519025
440	0.1895405276
441	0.1895204286
442	0.1895127483
443	0.1895049219
444	0.1894957743
445	0.189490336
446	0.1894770166
447	0.1894558633
448	0.1894413879
449	0.1894239235
450	0.1894101665
451	0.1894009221
452	0.1893941826
453	0.1893838357
454	0.1893704436
455	0.1893552818
456	0.1893477254
457	0.1893315632
458	0.189327277
459	0.1893250891
460	0.1893168619
461	0.1893044249
462	0.1892897116
463	0.1892794957
464	0.1892691602
465	0.189259427
466	0.1892494699
467	0.1892354472
468	0.1892232519
469	0.1892106233
470	0.189207512
471	0.1891957942
472	0.1891889344
473	0.1891838389
474	0.1891746737
475	0.189164941
476	0.1891557732
477	0.1891455875
478	0.1891327746
479	0.1891211334
480	0.1891005513
481	0.1890923682
482	0.1890847837
483	0.1890796126
484	0.1890763616
485	0.1890676656
486	0.1890584998
487	0.1890470659
488	0.1890321632
489	0.1890274417
490	0.1890174871
491	0.1890092332
492	0.1890021261
493	0.1890010153
494	0.1889971983
495	0.1889937303
496	0.1889842086
497	0.1889778878
498	0.1889766618
499	0.1889695855
500	0.1889610374
501	0.1889569727
502	0.1889473814
503	0.1889385246
504	0.1889330968
505	0.1889166358
506	0.1889017227
507	0.188891598
508	0.1888880353
509	0.1888781914
510	0.1888679348
511	0.1888593942
512	0.188848437
513	0.188832031
514	0.188811976
515	0.1888015159
516	0.18879359
517	0.1887843757
518	0.1887699502
519	0.1887638973
520	0.1887516441
521	0.1887332274
522	0.188722087
523	0.188712409
524	0.1887047171
525	0.188686319
526	0.1886813239
527	0.1886774371
528	0.1886726047
529	0.1886623777
530	0.1886462706
531	0.1886355005
532	0.1886243655
533	0.1886173267
534	0.1886096329
535	0.1885977545
536	0.1885905944
537	0.1885711575
538	0.1885454542
539	0.1885380439
