iter	Passed	Remaining
399	102898	154348
400	103287	154286
401	103720	154290
402	104197	154357
403	104657	154396
404	105019	154287
405	105373	154166
406	105667	153958
407	106001	153806
408	106300	153603
409	106549	153326
410	106916	153221
411	107524	153458
412	108008	153513
413	108493	153568
414	108878	153479
415	109278	153409
416	109577	153198
417	109903	153023
418	110271	152906
419	110477	152563
420	110904	152527
421	111213	152325
422	111407	151967
423	111692	151733
424	111972	151492
425	112231	151222
426	112623	151132
427	113043	151076
428	113434	150981
429	113821	150880
430	114092	150622
431	114375	150382
432	114712	150212
433	115115	150127
434	115429	149925
435	115708	149677
436	115886	149299
437	116146	149028
438	116371	148711
439	116616	148421
440	116838	148100
441	117152	147898
442	117368	147571
443	117653	147331
444	117895	147038
445	118185	146804
446	118409	146488
447	118679	146230
448	118920	145936
449	119237	145734
450	119484	145447
451	119704	145128
452	119933	144820
453	120199	144556
454	120524	144364
455	120833	144151
456	121169	143971
457	121455	143731
458	121852	143621
459	122177	143425
460	122433	143149
461	122820	143024
462	123226	142921
463	123594	142773
464	123980	142644
465	124373	142522
466	124789	142425
467	125082	142187
468	125356	141928
469	125802	141862
470	126070	141595
471	126318	141305
472	126587	141039
473	126986	140917
474	127265	140661
475	127684	140559
476	127981	140323
477	128350	140165
478	128675	139958
479	128924	139668
480	129157	139360
481	129372	139035
482	129643	138769
483	129878	138465
484	130154	138205
485	130339	137848
486	130611	137584
487	130886	137323
488	131154	137054
489	131472	136839
490	131683	136510
491	131910	136199
492	132210	135964
493	132453	135671
494	132733	135414
495	132946	135090
496	133219	134827
497	133489	134562
498	133715	134251
499	133952	133952
500	134202	133666
501	134413	133342
502	134670	133064
503	134907	132766
504	135143	132467
505	135414	132202
506	135708	131961
507	135911	131630
508	136208	131391
509	136467	131115
510	136690	130805
511	136973	130553
512	137243	130287
513	137513	130022
514	137723	129700
515	138002	129444
516	138270	129177
517	138580	128949
518	138855	128688
519	139019	128325
520	139254	128028
521	139480	127723
522	139757	127464
523	140028	127201
524	140287	126926
525	140580	126682
526	140754	126331
527	141055	126095
528	141301	125808
529	141570	125543
530	141810	125252
531	142137	125038
532	142396	124763
533	142671	124503
534	142956	124251
535	143244	124003
536	143495	123721
537	143762	123454
538	143941	123111
539	144132	122779
540	144376	122493
541	144647	122229
542	144920	121968
543	145156	121675
544	145426	121410
545	145717	121163
546	145990	120902
547	146249	120629
548	146533	120376
549	146786	120097
550	147055	119832
551	147371	119606
552	147689	119380
553	147964	119119
554	148237	118856
555	148458	118553
556	148797	118343
557	149036	118054
558	149228	117727
559	149471	117441
560	149736	117173
561	149976	116885
562	150242	116617
563	150518	116358
564	150833	116128
565	151151	115900
566	151420	115635
567	151717	115390
568	151922	115076
569	152157	114785
570	152450	114538
571	152708	114264
572	152995	114012
573	153203	113701
574	153454	113422
575	153744	113173
576	153991	112891
577	154285	112644
578	154542	112370
579	154829	112118
580	155096	111851
581	155355	111578
582	155620	111310
583	155877	111036
584	156159	110779
585	156444	110525
586	156760	110293
587	157040	110035
588	157327	109782
589	157601	109519
590	157864	109249
591	158120	108975
592	158367	108693
593	158649	108437
594	158926	108176
595	159192	107908
596	159484	107658
597	159764	107400
598	160009	107118
599	160282	106854
600	160508	106560
601	160840	106336
602	161106	106068
603	161365	105795
604	161619	105520
605	161906	105266
606	162183	105005
607	162479	104756
608	162675	104443
609	162856	104121
610	163110	103846
611	163381	103582
612	163719	103359
613	163982	103090
614	164264	102832
615	164518	102557
616	164763	102276
617	165014	101999
618	165245	101710
619	165497	101434
620	165743	101154
621	166015	100890
622	166246	100601
623	166597	100385
624	166850	100110
625	167106	99837
626	167323	99540
627	167641	99303
628	167946	99059
629	168182	98774
630	168467	98517
631	168724	98244
632	168971	97966
633	169265	97714
634	169502	97430
635	169778	97168
636	170032	96894
637	170282	96617
638	170481	96312
639	170722	96031
640	170904	95717
641	171190	95461
642	171443	95187
643	171682	94905
644	171961	94645
645	172293	94414
646	172579	94158
647	172848	93893
648	173163	93652
649	173420	93380
650	173710	93125
651	173965	92852
652	174174	92555
653	174430	92282
654	174678	92005
655	174956	91745
656	175247	91491
657	175525	91230
658	175820	90978
659	176051	90693
660	176307	90420
661	176580	90157
662	176798	89865
663	177042	89587
664	177333	89333
665	177634	89084
666	177814	88774
667	178080	88507
668	178363	88248
669	178691	88012
670	178894	87714
671	179186	87460
672	179443	87188
673	179711	86922
674	179966	86650
675	180163	86350
676	180362	86051
677	180608	85775
678	180866	85505
679	181152	85248
680	181444	84993
681	181675	84710
682	181963	84454
683	182195	84171
684	182506	83926
685	182795	83670
686	183034	83391
687	183255	83104
688	183563	82856
689	183766	82561
690	184077	82315
691	184352	82053
692	184625	81789
693	184904	81528
694	185046	81207
695	185274	80924
696	185570	80671
697	185795	80387
698	186093	80134
699	186361	79869
700	186663	79618
701	186919	79347
702	187162	79071
703	187405	78795
704	187724	78551
705	188010	78293
706	188329	78048
707	188589	77779
708	188827	77501
709	189043	77214
710	189387	76980
711	189695	76730
712	189987	76474
713	190273	76216
714	190573	75963
715	190872	75709
716	191135	75441
717	191398	75173
718	191669	74908
719	191945	74645
720	192200	74374
721	192474	74110
722	192724	73837
723	193024	73584
724	193307	73323
725	193588	73062
726	193841	72790
727	194133	72533
728	194361	72252
729	194624	71984
730	194908	71724
731	195185	71461
732	195459	71197
733	195737	70934
734	195987	70661
735	196276	70403
736	196553	70140
737	196826	69876
738	197115	69617
739	197278	69314
740	197570	69056
741	197837	68789
742	198090	68518
743	198391	68263
744	198701	68011
745	198964	67743
746	199237	67479
747	199482	67205
748	199751	66939
749	199999	66666
750	200280	66404
751	200523	66130
752	200830	65876
753	201092	65608
754	201292	65319
755	201501	65034
756	201759	64765
757	201981	64484
758	202277	64227
759	202585	63974
760	202851	63707
761	203102	63436
762	203356	63165
763	203636	62903
764	203929	62645
765	204147	62363
766	204428	62101
767	204630	61815
768	204829	61528
769	205058	61251
770	205229	60956
771	205452	60677
772	205728	60414
773	205966	60140
774	206221	59870
775	206475	59601
776	206717	59328
777	206996	59065
778	207298	58809
779	207542	58537
780	207797	58268
781	208041	57996
782	208316	57732
783	208592	57469
784	208907	57216
785	209202	56958
786	209512	56704
787	209777	56437
788	210055	56174
789	210320	55908
790	210630	55653
791	210883	55383
792	211149	55117
793	211447	54859
794	211762	54605
795	211974	54325
796	212285	54070
797	212546	53802
798	212819	53537
799	213044	53261
800	213329	52999
801	213616	52738
802	213862	52466
803	214100	52193
804	214389	51932
805	214622	51658
806	214896	51394
807	215158	51126
808	215461	50869
809	215755	50609
810	216008	50339
811	216274	50073
812	216585	49817
813	216884	49558
814	217143	49290
815	217461	49035
816	217740	48771
817	218013	48506
818	218334	48252
819	218635	47993
820	218907	47727
821	219149	47455
822	219447	47195
823	219677	46921
824	220003	46667
825	220267	46400
826	220539	46134
827	220782	45862
828	221028	45592
829	221307	45328
830	221592	45065
831	221916	44810
832	222216	44550
833	222500	44286
834	222753	44017
835	223058	43757
836	223281	43482
837	223609	43227
838	223878	42961
839	224169	42699
840	224437	42432
841	224707	42165
842	224997	41903
843	225254	41634
844	225551	41373
845	225781	41099
846	226053	40833
847	226329	40568
848	226591	40300
849	226881	40037
850	227163	39773
851	227412	39503
852	227644	39230
853	227862	38955
854	228151	38692
855	228440	38429
856	228703	38161
857	228926	37887
858	229196	37621
859	229514	37362
860	229783	37096
861	230025	36825
862	230276	36555
863	230565	36292
864	230845	36027
865	231107	35760
866	231377	35493
867	231649	35227
868	231889	34956
869	232148	34688
870	232457	34428
871	232712	34159
872	232957	33889
873	233258	33627
874	233558	33365
875	233843	33101
876	234130	32837
877	234389	32568
878	234647	32300
879	234917	32034
880	235184	31767
881	235439	31498
882	235692	31229
883	235956	30962
884	236251	30699
885	236546	30435
886	236802	30167
887	237042	29897
888	237299	29629
889	237586	29364
890	237831	29094
891	238091	28827
892	238401	28565
893	238668	28298
894	238969	28035
895	239255	27770
896	239470	27497
897	239779	27235
898	240045	26968
899	240330	26703
900	240621	26438
901	240902	26173
902	241166	25906
903	241444	25640
904	241679	25369
905	241956	25103
906	242207	24834
907	242511	24571
908	242764	24303
909	242996	24032
910	243292	23768
911	243566	23501
912	243842	23235
913	244081	22966
914	244363	22700
915	244656	22435
916	244927	22168
917	245210	21903
918	245507	21638
919	245755	21370
920	246007	21101
921	246304	20837
922	246620	20573
923	246875	20305
924	247150	20039
925	247445	19774
926	247705	19506
927	247973	19239
928	248240	18972
929	248509	18705
930	248787	18438
931	249025	18169
932	249340	17905
933	249605	17638
934	249864	17370
935	250127	17102
936	250396	16835
937	250670	16568
938	250922	16300
939	251198	16033
940	251533	15770
941	251794	15503
942	252077	15236
943	252343	14969
944	252754	14710
945	253071	14445
946	253342	14178
947	253641	13912
